#{"t_start": 1629124268.627234, "env_id": "Ant-v3"}
r,l,t
-96.821498,44,0.631307
-179.788527,43,0.664916
-203.572896,67,0.715843
-72.14141,20,0.733591
-71.402555,13,0.743337
-1484.380442,490,1.109302
-51.699803,13,1.137838
-85.843557,22,1.154184
-66.08897,32,1.178872
-2949.807735,1000,1.925684
-150.815244,37,1.99092
-161.200094,39,2.021387
-572.77199,189,2.161788
-141.64234,40,2.824261
-193.178682,72,2.879587
-73.676169,19,2.896831
-82.289816,23,2.913794
-149.400743,52,2.953096
-78.873176,26,2.974414
-228.384197,101,3.048853
-69.088989,20,3.067676
-85.142944,32,3.091401
-39.333168,14,3.103082
-67.971416,16,3.115643
-42.162286,21,3.131149
-149.099814,52,3.170724
-509.415357,173,3.299583
-148.896333,52,3.344396
-286.971342,84,3.408036
-203.203994,57,3.449892
-193.136622,69,3.500754
-247.325798,68,3.553117
-169.442242,61,3.600204
-391.86937,124,3.693201
-296.927329,97,3.769377
-122.566845,55,3.813866
-664.289302,165,3.936338
-244.940044,89,4.001616
-115.512552,48,4.040589
-196.612915,74,4.096719
-25.633662,13,4.109323
-122.163697,51,4.147815
-96.947056,50,4.186617
-443.877567,153,4.300293
-50.759956,17,4.318843
-66.114031,33,4.343722
-64.033771,26,4.364268
-66.718988,22,4.381847
-163.360321,54,4.838756
-39.210075,20,4.856035
-27.394645,15,4.868094
-434.269342,144,4.974268
-78.000813,25,4.998387
-174.131,46,5.033244
-255.831443,73,5.08885
-185.028803,66,5.140201
-153.222731,50,5.179539
-44.557594,17,5.194225
-65.249297,29,5.216369
-164.941607,49,5.253674
-127.845064,40,5.28512
-2905.436534,1000,6.031026
-73.180617,26,6.088262
-422.703744,146,6.196889
-61.503738,27,6.222553
-114.996455,48,6.259434
-75.88756,35,6.286952
-71.862458,27,6.308288
-27.852039,13,6.31904
-185.709466,62,6.365524
-221.906689,71,6.835851
-39.378082,13,6.845806
-92.118926,27,6.865901
-18.535557,11,6.875215
-142.334429,68,6.925703
-22.597203,11,6.936456
-135.483882,34,6.962021
-108.21186,36,6.988595
-232.789187,89,7.055604
-56.730861,20,7.074025
-114.732525,49,7.110904
-57.301552,16,7.124754
-253.700629,74,7.178958
-32.716846,14,7.18931
-76.382748,26,7.208494
-31.666956,12,7.218529
-439.359692,137,7.318735
-114.977685,57,7.366252
-138.26387,69,7.419245
-81.35064,31,7.445163
-325.323144,117,7.53253
-58.570201,18,7.550389
-176.439586,57,7.593277
-31.520844,12,7.602219
-135.542262,42,7.633568
-194.364156,70,7.686966
-112.992983,39,7.718183
-40.976428,17,7.732344
-163.311077,48,7.768281
-78.693527,26,7.78977
-37.342091,14,7.801322
-179.403025,53,7.840251
-277.229076,93,7.910682
-43.455928,22,7.930655
-33.794572,12,7.940427
-64.148478,15,7.951658
-161.368174,44,7.984103
-2684.791507,1000,9.155599
-2748.25597,1000,9.939581
-114.687287,35,10.00362
-63.73209,30,10.027257
-39.49899,17,10.041042
-143.460409,47,10.07634
-49.764805,16,10.090325
-130.94136,42,10.121167
-113.67782,49,10.158745
-386.549801,136,10.260515
-296.367885,97,10.336851
-92.470761,35,10.36615
-277.09669,81,10.42697
-29.845721,12,10.849726
-20.427889,12,10.859441
-51.957755,14,10.870483
-64.669391,28,10.891289
-162.203386,84,10.954551
-21.112649,8,10.963992
-379.744147,151,11.074547
-202.518154,82,11.140631
-96.15877,30,11.166288
-121.935483,65,11.214349
-61.342359,28,11.238091
-196.7118,68,11.289909
-52.530126,21,11.308487
-33.433152,15,11.319637
-101.359134,43,11.351506
-26.762321,11,11.361349
-283.237914,88,11.425539
-49.818441,18,11.442478
-107.017509,41,11.472865
-66.347695,23,11.491647
-144.109649,61,11.537907
